flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 10:34:12 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:34:28 desktop pet action=running ticks=18 loop=true
2026/06/25 10:34:44 desktop pet action=review ticks=18 loop=true
2026/06/25 10:35:00 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:35:16 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:35:33 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:35:50 desktop pet action=running ticks=18 loop=true
2026/06/25 10:36:07 desktop pet action=review ticks=18 loop=true
2026/06/25 10:36:22 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:36:36 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:36:51 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:37:07 desktop pet action=running ticks=18 loop=true
2026/06/25 10:37:23 desktop pet action=review ticks=18 loop=true
2026/06/25 10:37:39 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:37:55 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:38:11 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:38:29 desktop pet action=running ticks=18 loop=true
2026/06/25 10:38:46 desktop pet action=review ticks=18 loop=true
2026/06/25 10:39:00 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:39:15 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:39:30 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:39:45 desktop pet action=running ticks=18 loop=true
2026/06/25 10:40:01 desktop pet action=review ticks=18 loop=true
2026/06/25 10:40:17 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:40:33 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:40:49 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:41:06 desktop pet action=running ticks=18 loop=true
2026/06/25 10:41:23 desktop pet action=review ticks=18 loop=true
2026/06/25 10:41:40 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:41:55 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:42:09 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:42:25 desktop pet action=running ticks=18 loop=true
2026/06/25 10:42:40 desktop pet action=review ticks=18 loop=true
2026/06/25 10:42:56 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:43:12 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:43:28 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:43:45 desktop pet action=running ticks=18 loop=true
2026/06/25 10:44:02 desktop pet action=review ticks=18 loop=true
2026/06/25 10:44:19 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:44:33 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:44:48 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:45:03 desktop pet action=running ticks=18 loop=true
2026/06/25 10:45:18 desktop pet action=review ticks=18 loop=true
2026/06/25 10:45:34 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:45:50 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:46:06 desktop pet action=waiting ticks=18 loop=true
